
2023-09-12 10:27.57 | Serial[START TEST OK]

2023-09-12 10:28.51 | Serial[START TEST OK]

2023-09-12 10:29.15 | Serial[START TEST OK]

2023-09-12 10:31.13 | Serial[START TEST OK]

2023-09-12 10:31.46 | Serial[START TEST OK]

2023-09-12 10:32.22 | Serial[START TEST OK]

2023-09-12 10:34.27 | Serial[START TEST OK]

2023-09-12 10:35.23 | Serial[START TEST OK]

2023-09-12 10:38.27 | Serial[START TEST OK]

2023-09-12 10:41.22 | Serial[START TEST OK]

2023-09-12 10:42.25 | Serial[START TEST OK]

2023-09-12 10:43.56 | Serial[START TEST OK]

2023-09-12 10:44.34 | Serial[START TEST OK]

2023-09-12 10:46.01 | Serial[START TEST OK]

2023-09-12 10:47.20 | Serial[START TEST OK]

2023-09-12 11:46.55 | Serial[START TEST OK]

2023-09-12 11:47.24 | Serial[START TEST OK]

2023-09-12 11:48.40 | Serial[START TEST OK]

2023-09-12 11:49.02 | Serial[START TEST OK]

2023-09-12 11:49.27 | Serial[START TEST OK]

2023-09-12 11:50.18 | Serial[START TEST OK]

2023-09-12 11:51.22 | Serial[START TEST OK]

2023-09-12 11:51.44 | Serial[START TEST OK]

2023-09-12 11:52.35 | Serial[START TEST OK]

2023-09-12 11:55.37 | Serial[START TEST OK]

2023-09-12 11:55.53 | Serial[START TEST OK]

2023-09-12 11:56.07 | Serial[START TEST OK]

2023-09-12 11:56.28 | Serial[START TEST OK]

2023-09-12 11:56.49 | Serial[START TEST OK]

2023-09-12 11:57.43 | Serial[START TEST OK]

2023-09-12 11:58.01 | Serial[START TEST OK]

2023-09-12 12:02.16 | Serial[START TEST OK]

2023-09-12 12:02.34 | Serial[START TEST OK]

2023-09-12 13:10.57 | Serial[START TEST OK]

2023-09-12 13:13.22 | Serial[START TEST OK]

2023-09-12 13:13.50 | Serial[START TEST OK]

2023-09-12 13:15.36 | Serial[START TEST OK]

2023-09-12 13:16.46 | Serial[START TEST OK]

2023-09-12 13:18.55 | Serial[START TEST OK]

2023-09-13 08:53.25 | Serial[START TEST OK]

2023-09-13 08:53.52 | Serial[START TEST OK]

2023-09-13 08:54.13 | Serial[START TEST OK]

2023-09-13 17:28.32 | Serial[START TEST OK]

2023-09-14 09:05.11 | Serial[START TEST OK]

2023-09-14 09:06.17 | Serial[START TEST OK]

2023-09-14 09:06.46 | Serial[START TEST OK]

2023-09-14 09:07.18 | Serial[START TEST OK]

2023-09-14 09:07.36 | Serial[START TEST OK]

2023-09-14 09:08.27 | Serial[START TEST OK]

2023-09-14 09:16.56 | Serial[START TEST OK]

2023-09-18 23:13.24 | Serial[START TEST OK]

2023-09-18 23:13.53 | Serial[START TEST OK]

2023-09-20 16:03.34 | Serial[START TEST OK]

2023-09-19 09:00.37 | Serial[START TEST OK]

2023-09-21 09:01.24 | Serial[START TEST OK]

2023-09-21 09:14.25 | Serial[START TEST OK]

2023-09-21 09:16.34 | Serial[START TEST OK]

2023-09-21 09:17.33 | Serial[START TEST OK]

2023-09-21 09:18.26 | Serial[START TEST OK]

2023-09-21 09:19.21 | Serial[START TEST OK]

2023-09-21 09:21.58 | Serial[START TEST OK]

2023-09-21 09:23.22 | Serial[START TEST OK]

